epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
24,274,,,,,,,,,,,,,,,,,,0.6885346174240112,0.9090909361839294,0.9248087406158447,0.6859220862388611,0.7727272510528564,3.285376787185669,0.9250265955924988,0.6885346174240112,0.8245075941085815,0.7787878513336182,0.9090909361839294,0.9090909361839294
24,274,3622.011474609375,3450.70458984375,3187.57958984375,0.3840788006782532,2.403099536895752,0.011924516409635544,0.01241654995828867,0.013736296445131302,0.3931603729724884,0.45970335602760315,0.43072640895843506,0.14856275916099548,0.1537027359008789,0.1622958481311798,,,,,,,,,,,,,,,
25,285,,,,,,,,,,,,,,,,,,0.6535159349441528,0.8999999761581421,0.9233460426330566,0.6935651302337646,0.7727272510528564,3.310859441757202,0.9277151823043823,0.6535159349441528,0.8230855464935303,0.7515151500701904,1.0,0.8181818127632141
25,285,3474.39208984375,3366.886474609375,2981.7783203125,0.22963523864746094,2.8098886013031006,0.014189768582582474,0.015840422362089157,0.018086083233356476,0.43974512815475464,0.536241352558136,0.45684072375297546,0.17876775562763214,0.19070059061050415,0.1987716555595398,,,,,,,,,,,,,,,
26,296,,,,,,,,,,,,,,,,,,0.6425273418426514,0.90625,0.931025505065918,0.6897279024124146,0.7696969509124756,3.2023794651031494,0.9321818947792053,0.6425273418426514,0.786854088306427,0.7666666507720947,0.9354838728904724,0.8787878751754761
26,296,3697.23291015625,3529.17041015625,3409.92041015625,-1.3871626833861228e-06,2.2951583862304688,0.01205687876790762,0.012110870331525803,0.013495528139173985,0.38375329971313477,0.4344823956489563,0.42454174160957336,0.1404353678226471,0.1390789896249771,0.1525179147720337,,,,,,,,,,,,,,,
27,299,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
27,307,,,,,,,,,,,,,,,,,,0.6593660712242126,0.9230769276618958,0.9334795475006104,0.6823260188102722,0.7696969509124756,3.240135908126831,0.9369584321975708,0.6593660712242126,0.7897770404815674,0.7515151500701904,0.9375,0.9090909361839294
27,307,3670.039794921875,3476.70458984375,3341.2841796875,0.04370516166090965,2.3207128047943115,0.01320205070078373,0.013230725191533566,0.011279365979135036,0.3868505358695984,0.4602442681789398,0.40623748302459717,0.15321528911590576,0.15058530867099762,0.1356092095375061,,,,,,,,,,,,,,,
28,318,,,,,,,,,,,,,,,,,,0.6842861771583557,0.9230769276618958,0.9348958730697632,0.6753410696983337,0.7727272510528564,3.1885175704956055,0.9362505674362183,0.6842861771583557,0.8384552001953125,0.7757575511932373,0.9375,0.9090909361839294
28,318,3631.57958984375,3407.994384765625,3317.4033203125,-5.201860062697961e-07,2.2452425956726074,0.011337585747241974,0.012191465124487877,0.012455007061362267,0.3749125301837921,0.45347830653190613,0.4094514548778534,0.13386036455631256,0.13771606981754303,0.14216352999210358,,,,,,,,,,,,,,,
29,329,,,,,,,,,,,,,,,,,,0.6916838884353638,0.920634925365448,0.935006320476532,0.6779747009277344,0.7666666507720947,3.0329208374023438,0.9287959337234497,0.6916838884353638,0.8361375331878662,0.7636363506317139,0.9666666388511658,0.8787878751754761
29,329,3595.5966796875,3439.85791015625,3261.323974609375,0.01748102344572544,2.3785247802734375,0.01181761920452118,0.013016297481954098,0.013292658142745495,0.3982071578502655,0.4626661241054535,0.4117164611816406,0.14756838977336884,0.15339809656143188,0.15668465197086334,,,,,,,,,,,,,,,
30,340,,,,,,,,,,,,,,,,,,0.6790807843208313,0.90625,0.9348350763320923,0.6829525232315063,0.7636363506317139,3.1419637203216553,0.921221137046814,0.6790807843208313,0.818486213684082,0.7636363506317139,0.9354838728904724,0.8787878751754761
30,340,3645.710205078125,3507.5,3316.727294921875,0.1233135536313057,2.204838991165161,0.010761558078229427,0.011323655024170876,0.011938207782804966,0.3636230528354645,0.42995503544807434,0.4043163061141968,0.13204951584339142,0.13935482501983643,0.1470094472169876,,,,,,,,,,,,,,,
31,349,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
31,351,,,,,,,,,,,,,,,,,,0.681282103061676,0.920634925365448,0.9359744787216187,0.6878666281700134,0.7727272510528564,3.0538015365600586,0.9333653450012207,0.681282103061676,0.7863047122955322,0.7454545497894287,0.9666666388511658,0.8787878751754761
31,351,3719.5,3478.10791015625,3480.7158203125,0.07648520171642303,1.9139022827148438,0.008744214661419392,0.009057913906872272,0.010689965449273586,0.3289151191711426,0.37174805998802185,0.37156403064727783,0.11035006493330002,0.11244364082813263,0.12681357562541962,,,,,,,,,,,,,,,
32,362,,,,,,,,,,,,,,,,,,0.679381787776947,0.9180327653884888,0.9239553809165955,0.6791180372238159,0.760606050491333,3.148179769515991,0.9259687662124634,0.679381787776947,0.7786945104598999,0.7424242496490479,1.0,0.8484848737716675
32,362,3721.880615234375,3550.522705078125,3490.698974609375,-1.0403720125395921e-06,2.0624868869781494,0.009551357477903366,0.010113292373716831,0.011817052960395813,0.3532799482345581,0.41265514492988586,0.3897882401943207,0.11790821701288223,0.12134948372840881,0.13541997969150543,,,,,,,,,,,,,,,
33,373,,,,,,,,,,,,,,,,,,0.6885309219360352,0.9180327653884888,0.9269958138465881,0.688129186630249,0.7636363506317139,3.067695379257202,0.9310360550880432,0.6885309219360352,0.8272948861122131,0.7575757503509521,1.0,0.8484848737716675
33,373,3486.448974609375,3413.261474609375,3097.20458984375,0.24557633697986603,2.59023118019104,0.013036034069955349,0.014491492882370949,0.015360210090875626,0.42510002851486206,0.5197178721427917,0.43037155270576477,0.15927352011203766,0.17153014242649078,0.1694978028535843,,,,,,,,,,,,,,,
34,384,,,,,,,,,,,,,,,,,,0.6807389259338379,0.9032257795333862,0.9269806742668152,0.6917445659637451,0.7636363506317139,3.057724952697754,0.9262834787368774,0.6807389259338379,0.8437426686286926,0.7939394116401672,0.9655172228813171,0.8484848737716675
34,384,3554.511474609375,3398.95458984375,3189.647705078125,0.12114941328763962,2.3017637729644775,0.011091114953160286,0.01216419879347086,0.011972934007644653,0.3968198597431183,0.45631301403045654,0.4026934802532196,0.14139078557491302,0.14849141240119934,0.14501585066318512,,,,,,,,,,,,,,,
35,395,,,,,,,,,,,,,,,,,,0.6828085780143738,0.9032257795333862,0.9267511367797852,0.6901176571846008,0.760606050491333,3.2638261318206787,0.9273972511291504,0.6828085780143738,0.8076615929603577,0.760606050491333,0.9655172228813171,0.8484848737716675
35,395,3730.8408203125,3463.5625,3513.4658203125,-1.0403720125395921e-06,1.9902805089950562,0.009611794725060463,0.00962668564170599,0.011084184050559998,0.3420875370502472,0.37909290194511414,0.37948504090309143,0.11846740543842316,0.11904700100421906,0.13148640096187592,,,,,,,,,,,,,,,
36,399,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
36,406,,,,,,,,,,,,,,,,,,0.7016013264656067,0.920634925365448,0.9287045001983643,0.6986205577850342,0.7757575511932373,3.1395325660705566,0.9326106309890747,0.7016013264656067,0.8319131731987,0.7666666507720947,0.9666666388511658,0.8787878751754761
36,406,3529.17041015625,3460.7158203125,3125.914794921875,-1.5605579619659693e-06,2.321725368499756,0.010574763640761375,0.01422239001840353,0.012173083610832691,0.39773455262184143,0.47187539935112,0.39569091796875,0.13207866251468658,0.15792840719223022,0.14577968418598175,,,,,,,,,,,,,,,
37,417,,,,,,,,,,,,,,,,,,0.6829642057418823,0.9032257795333862,0.9283168911933899,0.6888994574546814,0.7696969509124756,3.2122063636779785,0.9270023703575134,0.6829642057418823,0.8364576697349548,0.7909091114997864,0.9655172228813171,0.8484848737716675
37,417,3761.48291015625,3480.073974609375,3545.1591796875,-1.5605579619659693e-06,2.0660853385925293,0.008579622954130173,0.008339162915945053,0.016250004991889,0.32696735858917236,0.36799076199531555,0.44329938292503357,0.10649728029966354,0.10451779514551163,0.1699768453836441,,,,,,,,,,,,,,,
38,428,,,,,,,,,,,,,,,,,,0.6766234040260315,0.9032257795333862,0.9280354976654053,0.6884298920631409,0.7666666507720947,2.933279275894165,0.9153085947036743,0.6766234040260315,0.8088386058807373,0.7787878513336182,0.9655172228813171,0.8484848737716675
38,428,3716.397705078125,3505.6533203125,3445.5908203125,0.1380956768989563,2.294907569885254,0.011239678598940372,0.011799687519669533,0.016108177602291107,0.35429516434669495,0.4145743250846863,0.43673714995384216,0.1384536176919937,0.1410258412361145,0.16730211675167084,,,,,,,,,,,,,,,
39,439,,,,,,,,,,,,,,,,,,0.6752370595932007,0.920634925365448,0.9239929914474487,0.6853585839271545,0.7696969509124756,3.087193489074707,0.9282954335212708,0.6752370595932007,0.8042259812355042,0.7727272510528564,0.9666666388511658,0.8787878751754761
39,439,3772.1533203125,3484.176025390625,3567.823974609375,-1.2137672911194386e-06,1.861161708831787,0.008320688270032406,0.008121374063193798,0.009870742447674274,0.32728850841522217,0.36036837100982666,0.3781968057155609,0.10675547271966934,0.10492439568042755,0.12019211798906326,,,,,,,,,,,,,,,
40,449,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
40,450,,,,,,,,,,,,,,,,,,0.664222776889801,0.920634925365448,0.927388072013855,0.6849055886268616,0.7575757503509521,3.1963577270507812,0.9271952509880066,0.664222776889801,0.8280884623527527,0.7515151500701904,0.9666666388511658,0.8787878751754761
40,450,3721.25,3446.32958984375,3409.926025390625,-1.2137672911194386e-06,2.0372400283813477,0.009383880533277988,0.009481070563197136,0.010910510085523129,0.3478107750415802,0.3929598033428192,0.3794783651828766,0.12380149960517883,0.12374424934387207,0.13651107251644135,,,,,,,,,,,,,,,
41,461,,,,,,,,,,,,,,,,,,0.6836803555488586,0.920634925365448,0.9284833073616028,0.6806808114051819,0.7666666507720947,3.1253089904785156,0.9329056143760681,0.6836803555488586,0.8477674722671509,0.760606050491333,0.9666666388511658,0.8787878751754761
41,461,3630.5283203125,3377.818115234375,3251.7158203125,0.1491144299507141,2.2120609283447266,0.011496284045279026,0.012197714298963547,0.012355118989944458,0.37788906693458557,0.43553343415260315,0.3911355137825012,0.13579052686691284,0.13991397619247437,0.1379239708185196,,,,,,,,,,,,,,,
42,472,,,,,,,,,,,,,,,,,,0.6797910928726196,0.9032257795333862,0.9282865524291992,0.6824448108673096,0.7636363506317139,3.074178457260132,0.9259352684020996,0.6797910928726196,0.7861911058425903,0.7515151500701904,0.9655172228813171,0.8484848737716675
42,472,3660.301025390625,3420.193115234375,3290.5341796875,0.0932391807436943,2.129682779312134,0.010670807212591171,0.012321630492806435,0.010945887304842472,0.36209991574287415,0.41120484471321106,0.3844364285469055,0.13057111203670502,0.13887189328670502,0.13168200850486755,,,,,,,,,,,,,,,
43,483,,,,,,,,,,,,,,,,,,0.6709907054901123,0.9032257795333862,0.9284665584564209,0.6788488030433655,0.7545454502105713,3.0437986850738525,0.9247894287109375,0.6709907054901123,0.7905138731002808,0.7454545497894287,0.9655172228813171,0.8484848737716675
43,483,3722.556884765625,3365.2158203125,3475.6875,-1.2137672911194386e-06,1.8134948015213013,0.008250299841165543,0.008312552236020565,0.00965177919715643,0.314091295003891,0.3550736606121063,0.3504067659378052,0.10708582401275635,0.10596989840269089,0.11836941540241241,,,,,,,,,,,,,,,
44,494,,,,,,,,,,,,,,,,,,0.6823703646659851,0.9032257795333862,0.9270442724227905,0.6854686141014099,0.7696969509124756,3.048520803451538,0.9197140336036682,0.6823703646659851,0.7713707089424133,0.7454545497894287,0.9655172228813171,0.8484848737716675
44,494,3755.068115234375,3427.301025390625,3517.25,0.06868033111095428,1.9104841947555542,0.00872423779219389,0.008995194919407368,0.010930205695331097,0.3298478424549103,0.36481034755706787,0.36890965700149536,0.11108510196208954,0.11296233534812927,0.12778665125370026,,,,,,,,,,,,,,,
45,499,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
